criterion,status,evidence,blocking_reason,owner_suggested
linea_base,REVISADA_CON_CORRECCIONES,docs/P0.1/INFORME.md|docs/P0.1/SHA256.json|docs/G0/DECISIONES_G0_SANITIZADAS.json,"Tesista asigna R01-R14; lint falla con 71 errores, backend descubre 0 pruebas y falta revisión independiente",tesista_operador+QA_independiente
mapa_arquitectura,PRESENTE,docs/P0.1/INFORME.md|AGENTS.md,"Arquitectura y flujos identificados; contratos compartidos aún no formalizados",tech-lead
inventario_datos,REVISADO_PENDIENTE_RATIFICACION,docs/P0.2/INVENTARIO_DATOS.md|docs/P0.2/CICLO_DE_VIDA.md|docs/G0/DECISIONES_G0_SANITIZADAS.json,"Custodio operativo y plazos técnicos decididos; institución, privacidad/ética, proveedor y plazo formal no ratificados",tesista_operador+privacy_independiente
modelo_amenazas,PRESENTE_PENDIENTE_IMPLEMENTACION_Y_ACEPTACION,docs/P0.2/INFORME.md|docs/G0/DECISIONES_G0_SANITIZADAS.json,"T01-T15 y R01-R14 asignados; controles no implementados ni aceptados por autoridad independiente",tesista_operador+security_privacy_independiente
definicion_constructo,CANDIDATO_PENDIENTE_RATIFICACION,docs/P0.3/INFORME.md|docs/P0.3/PREREGISTRO_CONFIRMATORIO.json,"Tarea propia y límites decididos; ratificación metodológica independiente pendiente",tesista_operador+methodologist
protocolo_evaluacion,CANDIDATO_NO_APROBADO,docs/P0.3/PROTOCOLO.md|docs/P0.3/DICCIONARIO_EVIDENCIA.csv|docs/G0/DECISIONES_G0_SANITIZADAS.json,"D01 D03 D05 D08 y umbral M1 pendientes; no hay segundo anotador, aprobación ética ni sello externo",tesista_operador+ethics_methodology
umbrales_iniciales,PRESENTES_NO_VALIDADOS,docs/P0.4/UMBRALES.json|docs/P0.4/REGISTRO_GATES.csv,"Siete gates BLOCKED y dos NOT_STARTED; no hay carga, SLI, rollback ni evidencia empírica",pilot-owner+platform
comandos_instalacion_pruebas_build,PRESENTES_CON_FALLOS,AGENTS.md|docs/P0.1/INFORME.md|docs/P0.5/VERIFICACION.json,"Instalación/build base documentados; lint falla, ML no se instaló y backend tiene 0 pruebas",tech-lead+QA
agents_md,PRESENTE_EN_CANDIDATO,AGENTS.md,"El archivo contiene arquitectura, comandos y restricciones; su inclusión se comprueba mediante el commit candidato",repository-admin
dependencias_actualizadas,AUDITADAS_Y_BLOQUEANTES,docs/G0/DEPENDENCIAS_G0.md|docs/G0/npm-audit-2026-09-13.json|docs/G0/pip-audit-backend-2026-09-13.json|docs/G0/pip-audit-ml-2026-09-13.json|docs/P0.5/PLAN_TRABAJO.csv|docs/P0.5/PLAN_PR_DETALLADO.json,"El grafo ejecutable tiene 41 alcances completos y orden válido; frontend mantiene 17 paquetes vulnerables y 48 desactualizados; backend 109 registros en 9 paquetes; ML no resolvió en Python 3.12 y conserva 10 requisitos sin pin",tech-lead+dependency-owner
